title;released;gf_score;metascore;genre;description;cover_art_url;graphics_pal;music_pal;gameplay_pal;total_pal;notes_pal_ntsc_j;name_variants;score_reasoning;description_es
Joe Montana II: Sports Talk Football;1991;3.01;n/a;Sports -Team -Football -Sim;Joe Montana Football is an American football video gamedeveloped by Electronic Arts, and published by Sega for the Genesisin 1991. Although the game does feature Joe Montana (as the title respectively says) as a playable character, since Sega did not secure the rights from the NFL, teams are named generically after US cities, meaning Joe Montana is the only real player in the game.;https://images.launchbox-app.com/86188b43-56f8-48a9-a991-2ede973ae5b8.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Joe Montana II: Sports Talk Football;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Joe Montana II: Sports Talk Football es un juego de fútbol americano de Sega con narración digitalizada. Mejora la presentación de la primera entrega con más opciones de partido y un enfoque deportivo más completo.
Spider-Man (Animated Series);1995;3.01;n/a;Action Adventure -General;Spider-Man is a side-scrolling action game developed by Western Technologies and published by Acclaim and LJN in 1995, incorporating elements from the critically acclaimed 1990s Spider-Man cartoon series. The game was released for the Genesis and the Super NES. The two versions of the game have the same basic story but have gameplay, level, and enemy differences.;https://images.launchbox-app.com/f21cfaf4-f78b-48ca-a729-a29df8690f1a.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Spider-Man (Animated Series);Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Spider-Man es un juego de acción basado en la serie animada de los años noventa. El héroe utiliza telarañas, golpes y su agilidad para recorrer niveles laterales y enfrentarse a villanos de Marvel.
Batman Returns;1992;3;n/a;Action -Beat-'Em-Up -2D;Batman Returns is a 1992 American superhero film directed by Tim Burton, based on the DC Comics character Batman. It is a sequel to the 1989 film Batman and the second installment of Warner Bros.initial Batman film series, with Michael Keaton reprising the role of Bruce Wayne / Batman. The film, produced by Denise Di Novi and Burton, also stars Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough, Pat Hingle, and Michael Murphy. In Batman Returns, Batman finds a new foe in the form of the Penguin, whose aim is to kill all of Gotham City's firstborn sons, while dealing with Selina Kyle/Catwoman, the former secretary of businessman Max Shreck and who seeks vengeance against Shreck for attempting to kill her to hide his own plans to bring the city under his control.;https://images.launchbox-app.com/949ce8cb-7d10-4fcd-907a-405d45feed07.jpg;7;7;6;7;Beat em up de licencia con buena ambientación, aunque control rígido, enemigos resistentes y dificultad desigual.;Batman Returns;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Beat em up de licencia con buena ambientación, aunque control rígido, enemigos resistentes y dificultad desigual.;Batman Returns es un beat em up basado en la película de Tim Burton. Batman recorre Gotham, combate bandas de delincuentes y se enfrenta al Pingüino y Catwoman en una adaptación de acción lateral.
California Games;1991;3;n/a;Sports -Individual -Athletics;California Games is a 1987 Epyx sports video game originally released for the Apple II and Commodore 64 and ported to other home computers and video game consoles. Branching from their popular Summer Games and Winter Games series, this game consists of a collection of outdoor sports purportedly popular in California. The game was successful for Epyx and spawned a sequel.;https://images.launchbox-app.com/f4e53909-34b9-4278-bc63-72a82ecc7639.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;California Games;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;California Games es una recopilación deportiva con pruebas como surf, monopatín, BMX, footbag y frisbee. Cada disciplina utiliza controles propios y recrea una versión arcade de la cultura deportiva californiana.
World Championship Soccer;1989;2.9;n/a;Sports -Team -Soccer -Sim;World Championship Soccer (ワールドカップサッカー) is a soccer game running on Sega's Mega-Tech arcade cabinet system and was released as one of the first games for the Sega Genesis system in North America in September 1989.;https://images.launchbox-app.com/e0be84cb-4c84-459e-b884-6a7378b56eee.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;World Championship Soccer;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;World Championship Soccer es uno de los primeros juegos de fútbol de Mega Drive. Ofrece partidos internacionales con una presentación sencilla y controles directos, propios de las primeras producciones de la consola.
Aero the Acro-Bat;1993;2.98;n/a;Action -Platformer -2D;Aero the Acro-Bat is a 1993 video game developed by Iguana Entertainment and published by Sunsoft. It was released for both the Super Nintendo Entertainment System and Sega Genesis. Aero the Acro-Bat, a red anthropomorphic bat, was created by David Siller. In 2002, Metro 3D released a version of the game for the Game Boy Advance, with a battery back-up (which the original versions lacked). The GBA version was titled Aero The Acro-Bat - Rascal Rival Revenge in Europe and Acrobat Kid in Japan. The SNES version of the game was released on the Wii's Virtual Consolein the PAL region on July 23, 2010, and in North America on July 26, 2010.;https://images.launchbox-app.com/3aa33213-f353-40ed-8a07-4a518f87852c.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Aero the Acro-Bat;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Aero the Acro-Bat es un plataformas protagonizado por un murciélago acróbata que debe salvar su circo. Combina piruetas, ataques, objetivos por nivel y una dificultad basada en cumplir tareas concretas.
Predator 2;1992;2.96;n/a;Action -Platformer -2D;Predator 2 is a 1990 American science fiction action film written by brothers Jim and John Thomas, directed by Stephen Hopkins, and starring Danny Glover, Ruben Blades, Gary Busey, María Conchita Alonso, Bill Paxton, and Kevin Peter Hall. The film is the second installment of the Predator franchise, serving as a sequel to 1987's Predator, with Kevin Peter Hall reprising the title role of the Predator. Set ten years after the events of the first film, in Los Angeles, the film focuses on the Predator, a technologically advanced alien hunter, and the efforts of a disgruntled police officer and his allies to defeat the malevolent creature.;https://images.launchbox-app.com/f9192f65-efd9-4e11-bc1e-bca11e79d418.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Predator 2;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Predator 2 es un juego de acción basado en la película. El detective Harrigan combate pandilleros y al cazador alienígena en una ciudad futurista, usando armas de fuego y avanzando por escenarios urbanos.
WWF Super Wrestlemania;1992;2.95;n/a;Sports -Individual -Combat -Wrestling;WWF Super WrestleMania is a multiplatform wrestling video game based on the World Wrestling Federation (WWF), released in 1992 for the Super Nintendo Entertainment System and the Mega Drive/Genesis.;https://images.launchbox-app.com/b6ff178b-358f-444e-a989-f1567de85f58.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;WWF Super Wrestlemania;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;WWF Super Wrestlemania es un juego de lucha libre con varias estrellas de la WWF. Propone combates uno contra uno y por parejas con un estilo sencillo, centrado en golpes, llaves y resistencia.
Blaster Master 2;1993;2.95;n/a;Action -Platformer -2D;Blaster Master 2 is a video game developed by Software Creationsand published exclusively in North America by Sunsoft of America for the Sega Genesis on March 15, 1993. The game is a sequel to the original Blaster Master originally published for the Nintendo Entertainment System (NES). It was published specifically for the North American market following the success of the first NES game in the same region. The staff of the original Japanese version of Blaster Master, titled Chô Wakusei Senki Metafight, had nothing to do with Blaster Master 2, and Sunsoft Japan did not release BM2 in Japan.;https://images.launchbox-app.com/d2f9dce8-7b99-4fba-98fd-bb1feae985ae.jpg;5;5;4;5;Secuela muy cuestionada por un diseño pobre, control incómodo y un desarrollo repetitivo. No conserva las virtudes del original.;Blaster Master 2;Gráficos: apartado visual limitado. Música: música poco destacada. Jugabilidad: control problemático, dificultad descompensada o mecánicas poco pulidas. Motivo global: Secuela muy cuestionada por un diseño pobre, control incómodo y un desarrollo repetitivo. No conserva las virtudes del original.;Blaster Master 2 es un juego de acción y plataformas protagonizado por Jason y su vehículo SOPHIA. La secuela para Mega Drive combina disparos, saltos y fases de vehículos, aunque con un diseño mucho más limitado que el original.
Warlock;1994;2.94;n/a;Action -Platformer -2D;Warlock is a side-scrolling action video game based on the 1989 horror film series of the same title. It was released on May 26, 1995 through Acclaim Entertainment for the Genesis and Super NESplatforms. A version for the Atari Jaguar was planned by Trimark Interactive but never released.;https://images.launchbox-app.com/ed4cda7c-5fb5-44bb-a934-37d1852f4a57.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Warlock;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Warlock es un juego de acción y plataformas basado en la película de terror fantástica. El jugador utiliza magia y armas para atravesar escenarios sobrenaturales y detener al hechicero antagonista.
Home Alone;1992;2.94;n/a;Action -General;Home Alone is the title of several tie-in video games based on the film of the same name. Versions were released for the Nintendo Entertainment System, Game Boy, Super NES, Master System, Genesis, Game Gear, Amiga and MS-DOS platforms.;https://images.launchbox-app.com/2918699a-f622-444f-a237-c9d5c92d7f2a.jpg;5;5;4;5;Aventura con buenas ideas de trampas, pero ritmo lento, control incómodo y objetivos poco claros. La dificultad suele resultar frustrante.;Home Alone;Gráficos: apartado visual limitado. Música: música poco destacada. Jugabilidad: control problemático, dificultad descompensada o mecánicas poco pulidas. Motivo global: Aventura con buenas ideas de trampas, pero ritmo lento, control incómodo y objetivos poco claros. La dificultad suele resultar frustrante.;Home Alone es un juego de acción basado en Solo en casa. Kevin debe defenderse de ladrones utilizando trampas y objetos domésticos, aunque sus objetivos y controles hacen que la aventura sea exigente.
Bubsy in: Claws Encounters of the Furred Kind;1993;2.94;n/a;Action -Platformer -2D;Bubsy in Claws Encounters of the Furred Kind, known as Bubsyor Bubsy 1 for short, is a platform video game released by Accoladein the early 1990s. It is the first game in the Bubsy series of video games. The game's name is a play on words in reference to the film Close Encounters of the Third Kind, with the game revolving around Bubsy defending the planet's supply of yarnballs from alieninvaders. The game received a sequel, Bubsy 2, in 1994.;https://images.launchbox-app.com/2bfe0325-d734-4d51-bc97-334543cfba38.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Bubsy in: Claws Encounters of the Furred Kind;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Bubsy in Claws Encounters of the Furred Kind es un plataformas protagonizado por una lince parlanchina. Bubsy corre, salta y se desliza por fases llenas de ovillos de lana y enemigos alienígenas.
Art of Fighting;1994-01-13;2.93;n/a;Action -Fighting -2D;"Art of Fighting (Japanese: 龍虎の拳 Hepburn: Ryūko no Ken, lit. ""Fist of Dragon and Tiger"") is a fighting video game trilogy that were released for the Neo Geo platform in the early 1990s. It was the second fighting game franchise created by SNK, following the Fatal Fury series and is set in the same fictional universe as a prequel to the Fatal Fury series. The original Art of Fighting was released in 1992, followed by two sequels: Art of Fighting 2 (龍虎の拳2 Ryūko no Ken 2) in 1994 and Art of Fighting 3: The Path of the Warrior(ART OF FIGHTING 龍虎の拳 外伝 Art of Fighting: Ryūko no Ken Gaiden) in 1996.";https://images.launchbox-app.com/f5328e02-f630-401f-8133-587d9a07482f.jpg;7;6;4;6;Luce razonablemente bien, pero el control lento, las animaciones recortadas y el sistema de lucha pobre hacen que sea una conversión poco recomendable.;Art of Fighting;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: control problemático, dificultad descompensada o mecánicas poco pulidas. Motivo global: Luce razonablemente bien, pero el control lento, las animaciones recortadas y el sistema de lucha pobre hacen que sea una conversión poco recomendable.;Art of Fighting es un juego de lucha de SNK con barras de espíritu, movimientos especiales y una presentación inspirada en Neo Geo. La versión de Mega Drive reduce parte de la animación y la fluidez del original.
B.O.B.;1993;2.93;n/a;Action -Platformer -2D;"Bob's Game (stylized as ""bob's game"") was a role-playing video game being developed by independent video game developer Robert Pelloni since 2003/2004. The project is most notable for Pelloni developing the game using open source software development toolsand Nintendo's refusal to license him the official SDK as well as Bob's response to that decision.";https://images.launchbox-app.com/6b3cfab7-5da3-4d62-bf75-418063949765.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;B.O.B.;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;B.O.B. es un plataformas de acción protagonizado por un adolescente alienígena que ha perdido su nave. Utiliza pistolas, jetpack y mejoras para superar planetas hostiles en una aventura con humor de ciencia ficción.
Alex Kidd in the Enchanted Castle;1989-08-14;2.92;n/a;Action -Platformer -2D;Alex Kidd in the Enchanted Castle (アレックスキッド 天空魔城Arekkusu Kiddo Tenkū Majō) is a side-scrolling platform gamedeveloped and published by Sega for the Sega Genesis video game console. The game was released in Japan in February 1989, in the U.S. in March 1991 and in Europe on November 1990. It is the only 16-bit platform game starring Alex Kidd, and the fifth game in the Alex Kidd series of video games.;https://images.launchbox-app.com/adcc6997-48bf-4ab7-a5ff-819c55aee529.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Alex Kidd in the Enchanted Castle;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Alex Kidd in the Enchanted Castle es un plataformas de Sega protagonizado por Alex Kidd. El héroe recorre escenarios de fantasía, combate enemigos con puñetazos y participa en partidas de piedra, papel o tijera.
Krusty's Super Fun House;1993;2.92;n/a;Puzzle -Action;Krusty's Fun House is a video game based on the animated sitcomThe Simpsons.;https://images.launchbox-app.com/4e7ed2ef-6641-4a6e-9d03-5329bb8cd5f5.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Krusty's Super Fun House;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Krusty's Super Fun House es un juego de puzles basado en Los Simpson. Krusty debe guiar lemmings y utilizar objetos para eliminar ratas que invaden su parque de atracciones.
Double Dragon;1993;2.91;n/a;Action -Beat-'Em-Up -2D;Double Dragon (ダブルドラゴン Daburu Doragon) is a beat 'em upvideo game series initially developed by Technōs Japan and released as an arcade game in 1987. The series stars twin martial artists, Billy and Jimmy Lee, as they fight against various adversaries and rivals. Due to the popularity of the game series, an animated series and live-action film adaptation have also been produced.;https://images.launchbox-app.com/09f6ae32-3f33-4236-a90a-55d385c863c4.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Double Dragon;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Double Dragon es un beat em up protagonizado por los hermanos Billy y Jimmy Lee. Recorren escenarios urbanos, usan golpes y armas improvisadas y se enfrentan a bandas para rescatar a Marian.
Wolverine: Adamantium Rage;1994;2.91;n/a;Action -Platformer -2D;Wolverine: Adamantium Rage is a platform-action video game released for both the Super NES and the Sega Genesis in 1994. The Genesis version was developed by Teeny Weeny Games, while the Super NES version was developed by Bits Studios. Both versions of the title were developed separately and differed from one another in some key areas, but their opening storyline and gameplay remain similar. It is one of the first video games to feature a recharging health system, though Wolverine has been able to recharge his health in previous X-Men games.;https://images.launchbox-app.com/4e421a76-3b36-408c-b2e1-e8cb86ed0c19.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Wolverine: Adamantium Rage;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Wolverine: Adamantium Rage es un plataformas de acción protagonizado por Lobezno. Combina garras, saltos y recuperación de salud en una aventura de Marvel con enemigos y escenarios inspirados en los cómics.
Doom Troopers;1995;2.9;n/a;Action -Platformer -2D;"Doomtrooper, also known as Doom Trooper, is an out-of-print collectible card game designed by Bryan Winter and was released in January 1995. It was originally published by Target Games and Heartbreaker Hobbies. It is based on concepts from the Mutant Chronicles franchise. Players use warriors to attack and gain either Promotion Points or Destiny Points. Promotion points can be used to win; Destiny Points are used to purchase more warriors and equipment. There are 13 different card types and over 1100 different cards available.";https://images.launchbox-app.com/1c6d1b0b-8330-41a3-8c34-ff672beed0c7.png;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Doom Troopers;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Doom Troopers es un juego de acción y plataformas basado en Mutant Chronicles. Dos soldados combaten hordas de enemigos con armas pesadas, disparos rápidos y una ambientación militar de ciencia ficción.
Flicky;1991;2.88;n/a;Action -Platformer -2D;Flicky is a platform game developed by Sega and released in arcades in May 1984. In Flicky, the player controls the eponymous blue bird and must gather all the small birds called Chirps in each round and bring them safely to the exit. There are cat and lizard enemies which can disperse the Chirps and kill the player, but Flicky can use items on the playing field to protect herself and the Chirps from danger.;https://images.launchbox-app.com/afc5d821-163f-4e9d-920b-2d89ebbcf78b.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Flicky;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Flicky es un juego arcade de Sega en el que un pájaro azul debe reunir polluelos y llevarlos a la salida. Gatos y lagartos amenazan al grupo, mientras los objetos del escenario sirven para defenderse.
AAAHH!!! Real Monsters;1995-09-15;2.87;n/a;Action -Platformer -2D;Aaahh!!! Real Monsters is an action-adventure platformer video game developed by Realtime Associates and published by Viacom New Media in 1995 for the Sega Genesis and SNES based on the American cartoon series of the same name on Nickelodeon.;https://images.launchbox-app.com/23dbe70b-716e-4bd2-a743-814a786ecf0d.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;AAAHH!!! Real Monsters;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;AAAHH!!! Real Monsters es un plataformas de acción basado en la serie de Nickelodeon. Ickis, Oblina y Krumm usan sus habilidades monstruosas para asustar humanos y superar pruebas en distintos escenarios.
Last Battle;1989;2.84;n/a;Action -Beat-'Em-Up -2D;"Last Battle is a side-scrolling martial arts beat 'em up released for the Mega Drive/Genesis in 1989 by Sega. It was one of the six games that were available as part of the Genesis launch lineup in the U.S. The Japanese version, titled Shin Seikimatsu Kyūseishu Densetsu: Hokuto no Ken (新世紀末救世主伝説 北斗の拳, lit. ""Fist of the North Star: The New Legend of the Post-Apocalyptic Messiah""), is based on the manga series Hokuto no Ken (published as Fist of the North Starin English). Since the international version did not retain the Hokuto no Ken license, the graphics and characters' names were altered. It was the second Hokuto no Ken game released by Sega, following the Mark III original (released internationally as Black Belt). Versions for the Commodore 64 and Amiga based upon Last Battle were developed and released by Elite in Europe in 1991.";https://images.launchbox-app.com/c28743dc-b851-4fb0-833f-7373039f5ec0.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Last Battle;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Last Battle es un beat em up de acción lateral de Sega, adaptación occidental de Hokuto no Ken. El protagonista usa técnicas marciales contra bandas enemigas en un mundo postapocalíptico.
The Incredible Hulk;1994;2.84;n/a;Action -Platformer -2D;The Incredible Hulk is a video game based on the Marvel superhero Hulk and the 2008 film. The console and Nintendo DS versions were released on June 5, 2008 and the PC version was released on June 10, 2008. Edge of Reality developed the console and PC versions while Amaze Entertainment developed the Nintendo DS version of the game.;https://images.launchbox-app.com/d3bed6e7-6495-469e-ab24-81fcb5200709.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;The Incredible Hulk;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;The Incredible Hulk es un juego de acción y plataformas basado en el superhéroe de Marvel. Hulk avanza por escenarios urbanos y militares, destruye enemigos y aprovecha su fuerza descomunal.
ClayFighter;1994;2.84;n/a;Action -Fighting -2D;ClayFighter is a fighting game released for the Super Nintendo in November 1993 and later ported to Sega Mega Drive/Genesis in June 1994. The game is a parody of Street Fighter. In 2009, it was re-released on the Nintendo Wii Virtual Console.;https://images.launchbox-app.com/58fc9831-51a6-4768-9415-01396ebab54f.jpg;7;7;8;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;ClayFighter;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;ClayFighter es un juego de lucha con personajes de plastilina y humor paródico. Sus combatientes, como Bad Mr. Frosty y Blob, utilizan movimientos especiales en enfrentamientos uno contra uno.
James Bond 007: The Duel;1993;2.82;n/a;Action -Platformer -2D;James Bond 007: The Duel is a 1993 action video game featuring the character of the British secret agent James Bond. It was developed by The Kremlin and published by Domark for Sega's Mega Drive/Genesis and Master System video game consoles, and the Game Gear handheld game console. The Mega Drive version was also released in Japan by Tengen on 14 May 1993, under the title known as 007 Shitō (００７・死闘).;https://images.launchbox-app.com/6beafd02-f048-4796-b054-fd81e20f4249.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;James Bond 007: The Duel;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;James Bond 007: The Duel es un juego de acción lateral protagonizado por James Bond. El agente usa armas, gadgets y ataques cuerpo a cuerpo para enfrentarse a villanos en misiones inspiradas en la saga cinematográfica.
James Pond: Underwater Agent;1991;2.81;n/a;Action -Platformer -2D;James Pond: Underwater Agent is a platform video game that was developed by British video game developers Vectordean Ltd and Millennium Interactive, and published by Millennium Interactive and Electronic Arts for numerous home computers and consoles in 1990. The character was featured in some comic books of the time, and the game spawned three sequels and one spin-off game.;https://images.launchbox-app.com/108b55f0-2c05-47df-b869-c524eb6131fb.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;James Pond: Underwater Agent;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;James Pond: Underwater Agent es un plataformas de acción protagonizado por un pez espía. James recorre instalaciones submarinas, evita trampas y utiliza gadgets para combatir enemigos y completar misiones.
Disney's Ariel: The Little Mermaid;1992;2.78;n/a;Action Adventure -General;Disney's Ariel the Little Mermaid, usually shorted to simply Ariel the Little Mermaid, is a 1992 video game developed by Blue Sky Software for the Sega Genesis, Game Gear and Master System, based on the 1989 film The Little Mermaid.;https://images.launchbox-app.com/c9c05061-aee0-47ca-b2d7-a6d88a75fe9a.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Disney's Ariel: The Little Mermaid;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Disney's Ariel: The Little Mermaid es una aventura submarina basada en la película de Disney. Ariel explora el océano, recoge objetos y utiliza la ayuda de sus amigos para superar enemigos y obstáculos.
